código,glosa,clasificación
781201004,EXPRESION FUERTE Y ESTABLE DE TRANSGENES EN MICROALGAS DE INTERES COMERCIAL,otro
781201005,PLATAFORMA METAGENOMICA PARA EL SECTOR MINERO DE LA REGION DE COQUIMBO,otro
781201007,AUTOMATIZACION DE PROCESOS PARA LA PRODUCCION DE HARINA DE CUESCO Y BIOMASA A PARTIR DE LOS RESIDUOS GENERADOS EN LA ELABORACION DE ACEITE DE OLIVA,otro
781201008,IMPLEMENTACION Y USO DE BIOECONOMIA COMO HERRAMIENTA ESTRATEGICA DE GESTION EN EL DESARROLLO Y TRANSFERENCIA DE PROYECTOS DE MEJORAMIENTO GENETICO EN ACUICULTURA,otro
781201009,MEJORAMIENTO DE LA GESTION DEL GUANO AVICOLA A TRAVES DE LA IMPLEMENTACION DE TECNOLOGIA DE RECUPERACION DE ENERGIA,otro
781201010,DESARROLLO DE HERRAMIENTAS MOLECULARES PARA EVALUAR LA RESPUESTA INMUNE EN SALMON ATLANTICO ALIMENTADOS CON DIETAS FUNCIONALES EWOS PARA EL CONTROL DE CALIGIDOSIS,salud
781202011,ESTACION PILOTO PARA MONITOREO DE CAMBIO CLIMATICO,otro
781202012,FORTALECIMIENTO DE UNA LINEA DE I+D EN SALUD Y BIENESTAR DE ESPECIES ACUICOLAS,salud
781202013,"MODELAMIENTO, MEDICION Y VERIFICACION ENERGETICA M²V ENERGY",otro
781203018,MODELACION HIDRODINAMICA PARA LA DETERMINACION DE ZONAS DE ASENTAMIENTO DE MYTILUS CHILENSIS EN EL MAR INTERIOR DE CHILOE,otro
781203019,NUEVA TERAPIA GENICA EN MODELOS METASTATICOS DE MELANOMA,salud
781204020,"DETERMINACION DEL DAÑO CAUSADO SOBRE LA PRODUCCION Y EL DESEMPEÑO DE TRIALEURODES VAPORARIORUM, EN DIFERENTES VARIEDADES DE TOMATE Y ECOSISTEMAS DEL VALLE DE QUILLOTA",otro
781204024,DESARROLLO DE UN SISTEMA DE ADYUVANTES BASADO EN UNA EMULSION OLEOSA DE TIPO W/O PARA LA PRODUCCION DE VACUNAS VETERINARIAS,salud
781204025,DESARROLLO DE NUEVAS TECNOLOGIAS BASADAS EN VISION COMPUTACIONAL PARA MEJORAR LOS CANALES DE ENTREGA DE SERVICIOS EN LA INDUSTRIA BANCARIA Y DEL RETAIL ASI COMO PARA ACERCAR LA TECNOLOGIA BASADA EN BUSQUEDA DE IMAGENES A GRUPOS MINORITARIOS,otro
781204026,DESARROLLO DE SISTEMA DE DETECCION DE EVENTOS MULTIMEDIA EN VIDEOS,otro
781204028,MODELOS PREDICTIVOS GEOMETALURGICOS,otro
781204033,MARCO CONCEPTUAL Y EMPIRICO PARA LA GESTION DE INNOVACION EN EMPRESAS CHILENAS,otro
781204034,MAS CAPITAL HUMANO PARA CHILE: ESTRATEGIAS PARA AUMENTAR LA EFECTIVIDAD DE LAS INSTITUCIONES DE EDUCACION SUPERIOR,otro
100/126/USA2012 0001,SEISMOLOGICAL AND GEODETIC INVESTIGATIONS OF THE CHILE 2010 MEGATHRUST EARTHQUAKE,otro
100/126/USA2012 0002,"DISTRIBUTION, ABUNDANCE ANO DIVERSITY OF LIANAS TN SOUTHERN TEMPERATE FORESTS",otro
100/126/USA2012 0006,ECOLOGICAL CONSEQUENCES OF LOW-OXYGEN WATER MASSES ON MESOZOOPLANKTON IN THE HUMBOLDT CURRENT ECOSYSTEM,otro
100/126/USA2012 0007,CASE STUDY OF THREE PIERS AFFECTED BY LIQUEFACTION-INDUCED LATERAL SPREADING FOR THE 2010 MAULE EARTHQUAKE,otro
100/126/USA2012 0011,EFFECT OF NATIVE FOREST REPLACEMENT BY PINE PLANTATIONS ON BIODIVERSITY AND ECOSYSTEM PROCESSES OF ANDEAN RIPARIAN AND RIVERINE HABITATS IN THE SOUTH OF CHILE,otro
100/126/USA2012 0014,SIGNATURES OF SELECTION IN PLANKTONIC MICROBIAL COMMUNITIES AND POPULATIONS DUE TO CHANGING OCEANS,otro
2775,RAINER ERHARD OTTO ARNOLD,otro
EPA10024,"AVES, CIENCIA Y TECNOLOGIA",otro
EPA10053,NEUROMANTES. SERIE TELEVISIVA DE DIVULGACION CIENTIFICA,otro
EPA10058,"DIETFRIEND, LA MASCOTA SALUDABLE",salud
EPA10060,"""LA PARABOLICA, CURVA MAGICA PARA LA RELEXION SOLAR""",otro
EPA10073,"""CONECTADOS CON LOS ECOSISTEMAS DE ZONAS ARIDAS""",otro
EPA10100,PILDORAS CIENTIFICAS,salud
EPA10115,MAPA CHILENO DE LA EXTINCION DE ESPECIAS:WWW.ESPECIESENPELIGRO.CL EL PORTAL WEB DE BIODIVERSIDAD NACIONAL.,otro
REDCIE12001,CREACION E IMPLEMENTACION DE ESTRATEGIAS DE DIFUSION EN LINEA DEL GRUPO HISTORIA Y JUSTICIA,otro
REDCIE12002,DESARROLLO DE UN MOTOR DE BUSQUEDA E INTERFAAZ WEB PARA LA RED DE COLABORACION CIENTIFICA CHILENA A TRAVES DE REDCIENCIA,otro
REDCIE12003,RED UCANCER UNA PLATAFORMA EN LINEA DE INVESTIGACION BASICOCLINICA DE CANCER EN CHILE,salud
REDENERG0001,PROGRAMA DE I + D DEL CONSORCIO,otro
REDENERG0002,"APLICACIONES EFICIENTES DE BATERIAS DE LITIO EN ALMACENAMIENTO DE ENERGIA, TRACCION Y ENERGIAS RENOVABLES",otro
REDENERG0003,RED DE COOPERACIÒN INTERNACIONAL WI-CE: SUSTENTABILIDAD DE MICRO-REDES INTELIGENTES,otro
REDENERG0006,"FORTALECER E IMPULSAR EL DESARROLLO DE PROYECTOS SOLARES EN EL PAIS A TRAVES DE UNA ALIANZA CON EL CENTRO NACIONAL DE ENERGIAS RENOVABLES DE ESPAÑA, PARA TRANSFERIR COMPETENCIAS AVANZADAS EN ESTA TEMATICA Y CONTRIBUIR EN LA FORMACION DE CAPITAL HUMANO.",otro
REDENERG0007,FORTALECER LAS RELACIONES ENTRE IBPSA CHILE E IBPSA BRASIL,otro
REDENERG0008,"DESARROLLAR UN MODELO HOLISTICO DEL FLUJO DE ENERGIA Y EL CONSUMO EN UN SISTEMA DE TRASPORTE DE TRENES URBANOS. DESARROLLAR UNA PLATAFORMA DE SIMULACION PARA DETERMINAR LA RELACION OPTIMA ENTRE LA EFICIENCIA ENERGETICA, EL USO DE SISTEMAS DE HVAC",otro
REDENERG0010,RED DE COOPERACION INTERNACIONAL CENTRO DE ENERGIA FCFM - ENERGY CENTRE @ BUSINNES SCHOOL UOA PARA EL ANALISIS DE POLITICAS DE INCENTIVO A LAS ENERGIAS RENOVABLES NO CONVENCIONALES Y SU INSERCIÒN EN SISTEMAS HIDROTERMICOS,otro
REDENERG0015,"VINCULOS DE TRABAJO DE INVESTIGACION Y DESARROLLO, ENTRE EL ADVANCED MINING TECHNOLOGY CENTER (AMTC) DE LA UNIVERSIDAD DE CHILE, Y EL INTERNATIONAL ENERGY CENTRE (IEC) DE AUSTRALIA",otro
100/121/REDES120002,DESARROLLO DE INVESTIGACION EN NUTRICION PARA SERIOLA LALANDI Y OTRAS ESPECIES MARINAS NATIVAS,otro
100/121/REDES120003,RED COLABORACION INTERNACIONAL DE NEMESIS-CEMC,otro
100/121/REDES120005,APLICACIONES TECNOLOGICAS PARA OPTIMIZAR EL USO DE INGREDIENTES VEGETALES EN LOS ALIMENTOS ACUICOLAS,otro
100/121/REDES120007,FORTALECIMIENTO DE LA ASTROESTADISTICA EN VALPARAISO,otro
100/121/REDES120008,"NUEVAS APROXIMACIONES PARA EL ESTUDIO DE LA HISTORIA DEL CHILE POST-INDEPENDIENTE, 1818-1830",otro
100/121/REDES120009,REFORZAMIENTO COLABORACION INIA-EMBRAPA,otro
100/121/REDES120010,RED DE FORMACION E INVESTIGACION EN POLITICAS PUBLICAS AVANZADAS,otro
100/121/REDES120014,RED DE COLABORACION EN INVESTIGACIONES APLICADAS AL MANEJO DE VIDA SILVESTRE,otro
100/121/REDES120015,FORTALECIMIENTO DE LA INVESTIGACION EN POLITICAS DE GESTION DE LA EDUCACION PUBLICA SUBNACIONAL,otro
100/121/REDES120016,ISOTOPOS Y RADIONUCLIDOS PARA ESTUDIOS HIDROGEOLOGICOS DE CUENCAS DE REGIONES ARIDAS Y SEMIARIDAS,otro
100/121/REDES120017,INNOVACION EN TECNICAS DENDROCRONOLOGICAS PARA EL ESTUDIO DEL CAMBIO GLOBAL EN CHILE,otro
100/121/REDES120018,RED COLABORATIVA EN INSTRUMENTACION ASTRONOMICA ENTRE PUC Y UDETOKIO,otro
100/121/REDES120019,MOLECULAR MODELING OF LATE EMBRYOGENESIS ABUNDANT (LEA) PROTEINS IN PLANTS,otro
100/121/REDES120024,RED DE INVESTIGACION GENOMICA EN SALUD: SINDROME DE MICRODELECION DEL CROMOSOMA 22Q11,salud
100/121/REDES120026,RED INTERNACIONAL KCL-UC DE INVESTIGACION EN RESONANCIA MAGNETICA,otro
100/121/REDES120027,RED ISCI-MIT-SMART,otro
100/121/REDES120028,METODOLOGIA PARA EL ANALISIS SOCIAL DEL ESPACIO METROPOLITANO EN SANTIAGO Y RIO DE JANEIRO,otro
100/121/REDES120029,RED EN BIOTECNOLOGIA AGRICOLA: VINCULACION ACADEMICA UTALCA-MICHIGAN STATE UNIVERSITY,otro
100/121/REDES120031,PROYECTO DE VINCULACION CREAS - OREGON STATE UNIVERSITY - OHIO STATE UNIVERSITY,otro
100/121/REDES120035,FORTALECIMIENTO DE UNA RED INTERNACIONAL SOBRE BIODIVERSIDAD DEL PACIFICO Y ATLANCTICO SUR,otro
100/121/REDES120042,COLABORACION INTERNACIONAL CEQUA-CIBNOR,otro
100/121/REDES120043,RED CERI-CICIR Y EL ESTUDIO DE LAS RELACIONES SINO-LATINOAMERICANAS: LECCIONES PARA CHILE,otro
100/121/REDES120045,ESTUDIOS INTERDISCIPLINARIOS DE LA RELACION INTERNACIONAL ENTRE CHILE Y ASIA (CEA UC - IDE JETRO),otro
100/121/REDES120046,LAS PUBLICACIONES DE ARQUITECTURA Y EL PROYECTO DE UNA TRADICION MODERNA BBRASIL-CHILE 1925-1985,otro
100/121/REDES120047,IDEAR Y ICORRIC,otro
100/121/REDES120048,FORTALECIMIENTO DE LA COLABORACION ENTRE EL INIA LA CRUZ Y LA UNIVERSIDAD DE CALIFORNIA (DAVIS),otro
100/121/REDES120051,FORTALECIMIENTO DE LAS CAPACIDADES DE INVESTIGACION DE CETAM EN QUIMICA ATMOSFERICA,otro
100/121/REDES120052,RED DE COLABORACION PARA EL DESARROLLO DEL SECTOR CARNE BOVINA,otro
7812110002,DIVERSIDAD DE HONGOS MICORRICICOS ARBUSCULARES Y SU INCIDENCIA EN LA TOLERANCIA A ALUMINIO DE PLANTAS DE TRITICUM AESTIVUM L. QUE CRECEN EN SUELOS ACIDOS CON NIVELES FITOTOXICOS DE ALUMINIO,otro
7812110003,ESTUDIO DEL POTENCIAL USO DE RIZOBACTERIAS ACUMULADORAS DE SELENIO PARA LA BIOFORTIFICACION DE CULTIVOS DE TRIGO,otro
7812110004,SYNTHESIS OF BIODIESEL BY DIRECT TRANSESTERIFICATION OF THE BOTRYOCOCCUS BRAUNII MICROALGAE BIOMASS IN A SYSTEM OF SIMULTANEOUS OIL EXTRACTION AND TRANSESTERIFICATION REACTION,otro
7812110005,FEASIBILITY OF NITROGEN RECYCLING FOR BIOENERGY PRODUCTION PROCESS FROM MICROALGAE BIOMASS,otro
7812110006,USO DE UN SOLVENTE RENOVABLE PARA EXTRAER HIDROCARBUROS DESDE BOTRYOCOCCUS BRAUNII MANTENIENDO LA VIABILIDAD CELULAR,otro
7812110007,STUDY AND VALIDATION OF ESSENTIAL OILS FOR THE CONTROL OF AEGORHINUS SPP. IN AN EXPERIMENTAL ORCHARD OF EUROPEAN HAZELNUT,otro
7812110008,IDENTIFICACION Y CARACTERIZACION DE FACTORES GENETICOS INVOLUCRADOS EN LA COLORACION DE PIEL Y PULPA EN EL FRUTO DE CIRUELO JAPONES (PRUNUS SALICINA),otro
7812110011,PSEUDOCOCCUS VIBURNI: ¿ESPECIE COSMOPOLITA Y GENERALISTA O COMPLEJO DE TAXONES CRIPTICOS?,otro
7812110012,SIN INFORMACION,otro
7812110015,"ESTUDIO PARA LA BIORREMEDIACION DE LOS DRENAJES ACIDOS DE MINA (DAM) MEDIANTE CRISTALIZACION, UTILIZANDO EL BACILLUS PASTEURII",otro
ECI01/001,CUIDADORES AMBIENTALES DE LA ESCUELA ARGENTINA,otro
ECI01/002,CONOCIENDO EL MUNDO SECRETO DE LAS ALGAS,otro
ECI01/004,LOS GUARDIANES DEL HUMEDAL DE TRES PUENTES: UN PARAISO POR PROTEGER,otro
ECI01/005,PEQUEÑOS HORTICULTORES DE LA PATAGONIA,otro
ECI01/006,RAICES: CLUB PRIMAVERA,otro
ECI01/009,CLUB DE CIENCIAS DARWIN,otro
ECI01/011,KOTAIX… PROTECTORES DEL HUMEDAL,otro
ECI01/012,PEQUEÑOS GRANDES CIENTIFICOS,otro
ECI01/013,PLANTAS ACUATICAS: MEJORANDO NUESTRA AGUA POTABLE,salud
ECI01/014,EL IMPULSO NERVIOSO: DE LA TEORIA A LA PRACTICA,salud
ECI01/015,LOS BIODIVERSOS DE LA REGION DE LOS RIOS,otro
ECI01/016,EFECTO CLIMATICO Y HUMANO EN EL NIVEL DE COLIFORMES TOTALES Y FECALES EN AGUAS DE LAS PLAYAS 'SAN MATEO' Y 'CARVALLO' DE VALPARAISO,salud
ECI01/017,ECOLOGIA INCLUSIVA AVE FENIX,otro
ECI01/019,AGRICOLANOS EN LA SENDA DE LA PRODUCCION LIMPIA,otro
ECI01/020,DETERMINAR CAPACIDAD ANTIOXIDANTE Y CARACTERIZACION DE PIGMENTOS DE MICROALGAS,salud
ECI01/023,SIGLOCIENCIAS,otro
ECI01/026,MURCI AMIGOS,otro
ECI01/031,CURIÑANCO EN ACCION,otro
ECI01/032,"MI CLUB DE CIENCIAS ESPECIAL, EL COLIBRI EXPLORADOR",otro
ECI01/033,ILUMINANDO LA SALA DE CLASES,otro
ECI01/034,LOS AMBIENTA-LISTOS,otro
ECI01/035,"DESCOMPONEDORES DE MATERIA ORGANICA, LOMBRICULTURA",otro
ECI01/036,BUSCANDO RIESGOS OCULTOS EN MI MASCOTA,salud
ECI01/038,CLUB DE INVESTIGACION ESCOLAR,otro
ECI01/040,REFORESTADORES DE LA PATAGONIA,otro
ECI01/046,ELECTROTECNIA MEDIOAMBIENTALMENTE ACTIVA,otro
ECI01/048,10 CIENTIFICOS 2013 EXPLORANDO OTRAS AGUAS,otro
ECI01/049,CLUB LOS EXPLORADORES DE SAN FERNANDO,otro
ECI01/050,ABRE TU MUNDO,otro
ECI01/051,EXPLORADORES DEL MICROMUNDO,otro
ECI01/052,VALIDANDO Y ELABORANDO PRODUCTOS NATURALES PARA EL TRATAMIENTO Y CONTROL DEL ACNE,salud
ECI01/054,BELLA CIENCIA,otro
ECI01/057,CON OJOS DE GALILEO: ESTUDIO DE LOS PARADIGMAS CIENTIFICOS PROPUESTOS POR GALILEO GALILEI,otro
ECI01/060,ADEDO… AHORRO DE ENERGIA DOMESTICA,otro
ECI01/062,CAZADORES DE INVASORES DEL HUERTO,otro
ECI01/063,USO ORNAMENTAL DEL LEUCOCRYNE EN ZONAS DE LA CUARTA REGION,otro
ECI01/066,CLUB BIOHIGGINIANO,otro
ECI01/067,EXCAVADORES DE LA PATAGONIA,otro
ECI01/069,LOS EXPLORADORES,otro
ECI01/070,DEGRADACON DEL COLOR,otro
ECI01/072,TALLER DE CIENCIAS ISP,otro
ECI01/077,ELECTRILOCOS,otro
ECI01/078,SCIENCE CLUB,otro
ECI01/079,CLUB DE INNOVACION AGRICOLA LBT: DESCUBRIENDO EL ORIGEN DE CHIMENTI GLOBE,otro
ECI01/080,"LOS EXPLORADORES DEL PACIFICO: LAS MICROALGAS, MICROORGANISMOS SUSCEPTIBLES AL EFECTO DE LUZ UV",otro
ECI01/081,HIDROPONIA UNA ALTERNATIVA PARA LA TIERRA,otro
ECI01/082,FUTUROS CIENTIFICOS POR EL MEDIO AMBIENTE,otro
ECI01/083,TALLER DE ECOLOGIA ESCUELA DE FUTALEUFU,otro
ECI01/084,BRIGADA ECOLOGICA COLEGIO POLIVALENTE ADVENTISTA SANTIAGO SUR,otro
ECI01/087,PEQUEÑOS BIOLOGOS MARINOS,otro
ECI01/088,TALLER DE ARTROPODOS - VALLE DEL ELQUI,otro
ECI01/089,CLUB KUMIRAY,otro
ECI01/090,LOS SIMULADORES,otro
ECI01/091,LOS MASTONBOTS SFJ,otro
ECI01/094,PAILLACO,otro
ECI01/096,LOS PIONEROS,otro
ECI01/097,TALLER CIENTIFICO Q'HANTATI,otro
ECI01/098,MEDIO AMBIENTE: ESTUDIANDO LA CALIDAD DEL AGUA,salud
ECI01/099,LOS FOTOVOLTAICOS,otro
ECI01/100,BRIGADA AMBIENTAL,otro
ECI01/101,ALIWENKO,otro
ECI01/102,¿QUE CAE SOBRE MI TECHO?,otro
ECP40009,DESCUBRIENDO EL MEDIO ENCANTADO CLUB PICHINATIVOS,otro
ECP40013,GUPPYNES EN ACCION,otro
ECP40014,LOS NIÑOS ARQUEOLOGOS DESCUBREN Y VALORAN EL PASADO,otro
ECP40017,CLUB RAYEN DE MI TIERRA,otro
ECP40018,MICROEXPLORINES: CAZADORES DE MICROBIOS 1.0,otro
ECP40019,MINICUIDADORES DEL AMBIENTE,otro
ECP40021,CATAPULTA TU MENTE,otro
ECP40023,RESCATISTAS DE LAS ABEJITAS Y APICULTURA DE CALFUTUE,otro
ECP40024,PICHILAWENCHEFE,otro
ECP40025,SEMBRANDO Y CULTIVANDO CONOCIMIENTOS,otro
ECP40026,WIÑI MAWIDA,otro
ECP40028,MINI GRANJEROS,otro
ECP40031,CLUB DE EXPLORINES NI WEÑI LAWEN,otro
ECP40033,PEHUENCITO EXPLORADOR,otro
ECP40036,RECICLAR PARA SALVAR,otro
ECP40038,PERMACULTORES EN ACCION,otro
ECP40039,EXPLORADORES DE BATUCO,otro
ECP40040,LAS BANDURRIAS CU RIOSAS,otro
ECP40041,"""SURKADORES DE LA CIENCIA : RECICLAR Y BIODEGRADAR, PARA PROTEGER EL MEDIO AMBIENTE, """,otro
ECP40043,CLUB EXPLORA PATRUYA ECOLOGICA,otro
ECP40045,"GUARDIANES DEL PLANETA""",otro
ECP40046,EXPLORINES EN ACCION,otro
ECP40047,JUGUEMOS A INVESTIGAR Y EXPERIMENTAR CON LAS FRUTAS EN ACCION,salud
ECP40050,LOS COMETITAS,otro
ECP40053,FIELTRITOS LLIMACHI,otro
ECP40054,EXPLORADORES DEL UNIVERSO,otro
ECP40055,"""CACHITOS AL SOL""",otro
ECP40058,ARTE RECICLADORES DEL PLANETA,otro
ECP40068,LITTLE GREEN FINGERS (DEDITOS VERDES),otro
ECP40076,PEQUEÑA BRIGADA ANIMAL,otro
ECP40081,PEQUEÑOS GUARDIANES DEL LAGO VILLARRICA,otro
ECP40084,LOS PROTECTORES DEL AGUA,otro
ECP40086,INVESTIGUEMOS NUESTRA HISTORIA,otro
ECP40087,PEQUEÑOS EXPLORINES AGUSTINOS,otro
ECP40088,SIGUIENDO A DARWIN: LOS MINI GUARDIANES DE LA CHINCHILLA,otro
ECP40089,CIENTIFICOS DE LA CULTURA,otro
ECP40090,CONOCIENDO Y EXPLORANDO CON LAS NE U ROCIENCIAS,otro
ECP40091,""" PEQUEÑOS INVESTIGADORES, FUTUROS CIENTIFICOS"" EL PODER DEL SOL",otro
ECP40092,PLANTITAS SALUDABLES,salud
ECP40096,PEQUEÑOS AMIGOS DE LA CIUDAD DE VALPARAISO,otro
ECP40099,VIGILANTES ALERTAS,otro
ECP40100,LOS EXPLORINES DE LA BAQUEDANO,otro
ECP40102,"CLUB LOS ARRIEROS... *CUIDANDO LOS ANIMALES DE NUESTRA ZONA""",otro
ECP40103,EXPLORADORES DEL MUNDO ANIMAL,otro
ECP40106,"PEQUEÑOS AGRICULTORES, GUARDIANES DE LA SALUD""",salud
ECP40110,EXPLORINES BAJO EL MICROSCOPIO,salud
ECP40111,FISICOS EN ACCION,otro
ECP40112,INVESTIGANDO EN LA POBLACION LA BANDERA,otro
ECP40122,LOS AQUANIÑOS PROTEGIENDO EL TESORO,otro
ECP40138,PEQUES MICROBIOLOGOS,salud
PLU120019,DISCURSO E IMAGEN PERIODISTICA: CONSTRUCCION DE IMAGINARIOS SOBRE EL MOVIMIENTO ESTUDIANTIL,otro
PLU120024,USO DE MEDIOS Y PRACTICAS DE CONSUMO INFORMATIVO DE ADOLESCENTES CHILENOS EN CUATRO REGIONES,otro
3/32/32120001,2ND BI-NATIONAL SCIENCE MEETING SOCHIAS-AAA,otro
3/32/32120004,ENGINEERING OPTIMIZATION OF THE 1.2 M MM-WAVE TELESCOPE.,otro
3/QUIMAL/QUIMAL120001,AN OPTICAL ALIGNMENT AND CHARACTERIZATION SYSTEM FOR THE CLASS AND ACT TELESCOPES.,otro
3/QUIMAL/QUIMAL120005,LABORATORY TEST INSTRUMENTATION & INFRASTRUCTURE FOR THE U. DE CONCEPCION RADIOASTRONOMY LABORATORY,otro
11121113,LA PSICOLOGIA COMO TEXTO: MARCOS RETORICOS DEL DISCURSO DISCIPLINAR EN LOS ARTICULOS DE PSICOLOGIA.,otro
11121114,GENERIC MEANINGS IN SPANISH: EXPLORING THE EARLY STAGES OF REASONING,otro
11121115,EFECTOS DE LA MULTIADHESION EN EL COMPORTAMIENTO CIVICO DE LOS JOVENES,otro
11121118,SOERGEL BIMODULES AND LUSZTIG'S CONJECTURE.,otro
11121119,"DORA THE EXPLORER, VELOZ MENTE, OR WORLDWORD? TELL ME WHAT YOUR CHILDREN ARE WATCHING ON TV AND I WILL TELL YOU HOW THEY ARE LEARNING THINGS",otro
11121122,"THE CONTINUOUS, DISCRETE AND WEAK MARKUS-YAMABE CONJECTURES.",otro
11121123,LAS OTRAS HISTORIAS: CLASES MEDIAS Y EXPERIENCIA DICTATORIAL EN CHILE CONTEMPORANEO. (1973-1990),otro
11121124,"REVOLUCION, CONTRARREVOLUCION Y GUERRA CIVIL. EL VIRREY ABASCAL Y CHILE, 1810-1814",otro
11121125,SCATTERING RIGIDITY ON MANIFOLDS,otro
11121128,"DETECTION, ESTIMATION AND DIAGNOSTIC FOR LOCALLY STATIONARY GAUSSIAN LONG-MEMORY PROCESSES",otro
11121131,CONFOUNDING IN SPATIAL REGRESSION MODELS,otro
11121133,ROLE AND REGULATION OF GLIAL CELL HEMICHANNELS IN MATERNAL INFLAMMATION-INDUCED BRAIN DYSFUNCTION ON THE OFFSPRING,salud
11121134,HANDLING THE CRISIS: PRESIDENTS AND STATES OF EXCEPTION IN CHILE,otro
11121136,SUSTAINABLE DEVELOPMENT OF ENGLISH EDUCATION IN CHILE: FROM CLASSROOM OBSERVATION TO EXPERIMENTAL TEACHER TRAINING,otro
11121139,FUNDAMENTOS DOGMATICOS DE LA VISION PRIVATISTA DEL DERECHO CONCURSAL,otro
11121142,EFFECT OF DIFFERENT DIETARY FATTY ACID SOURCES IN MILK COMPOSITION AND PLASMA TRANSPORT OF TRANS FATTY ACIDS IN DAIRY COWS,salud
11121143,INVESTIGATION AND MODELING OF DEEP STRUCTURES BENEATH THE LASTARRIA-CORDON DEL AZUFRE VOLCANIC COMPLEX USING MAGNETOTELLURICS,otro
11121144,UNA MIRADA A LA RESPONSABILIDAD SOCIAL UNIVERSITARIA EN LA CIUDAD DE ANTOFAGASTA.,otro
11121145,PLASMAS ASTROFISICOS NO-COLISIONALES,otro
11121146,MEDIATORS OF ANGIOGENESIS IN PORTAL HYPERTENSION,salud
11121147,LA DIFUSION DE LA PROTESTA COLECTIVA EN CHILE (2000-2011),otro
11121148,PHYSICAL PROPERTIES OF ASYMPTOTICALLY LIFSHITZ BLACK HOLES,otro
11121151,VECTOR FIELDS ON AFFINE T-VARIETIES,otro
11121153,BRAIN COMPUTER INTERFACES FOR THE ENHANCEMENT OF BRAIN NETWORKS AND EMOTION PROCESSING. APPLICATIONS IN DEPRESSION AND SCHIZOPHRENIA,salud
11121155,APPLIED ECONOMICS,otro
11121156,"MOVILIZACIONES ESTUDIANTILES Y FORMACION CIUDADANA DESDE LA PERSPECTIVA DE DOCENTES DE HISTORIA, GEOGRAFIA Y CS. SOCIALES",otro
11121159,EXPERIMENTAL STUDY OF INDIVIDUAL COMPONENTS IN BIOSOLIDS AS FROTH FLOTATION REAGENTS FOR SULFIDE ORE CONCENTRATION,otro
11121160,DEVELOPMENT OF A NEW DYNAMIC MODEL FOR BATCH BIODRYING PROCESS OF DEWATERED SEWAGE SLUDGE,otro
11121161,TESTING AND NUMERICAL MODELLING OF THE IN-PLANE CYCLIC BEHAVIOUR OF REINFORCED BRICK MASONRY WALLS,otro
11121162,FACTORES SOCIOCULTURALES QUE CONFORMAN LA OPINION PUBLICA Y ESPECIALIZADA DE LOS ROLES SOCIALES DE LAS PERSONAS MAYORES DE CHILE EN EL PERIODO 2002-2012.,otro
11121163,THE NASH PROBLEM FOR FAMILIES OF ISOLATED HYPERSURFACE SINGULARITIES,otro
11121166,NOVEL BOUNDARY INTEGRAL FORMULATIONS AND PRECONDITIONERS FOR COMPUTATIONAL MODELING IN RADIO ASTRONOMY AND ANESTHESIOLOGY,otro
11121170,STUDY OF ROLE OF FLAVONOLS DURING THE GRAVITROPIC RESPONSE IN YOUNG RADIATA PINE SEEDLINGS,otro
11121171,A SOCIOLOGY OF THE CHILEAN PUBLIC ADMINISTRATION: THE COURT CLERKS AND THE CRIMINAL PROCEDURE REFORM.,otro
11121172,ISOFLAVONES PHYTOESTROGENS INCORPORATED TO ERYTHROCYTE MEMBRANES: RELATIONSHIP BETWEEN ANTIOXIDANT ACTIVITY AGAINST SINGLET OXYGEN AND ITS RELATIVE LOCALIZATION,salud
11121175,HERBIVORY TOLERANCE MEDIATED BY CARBON STORAGE: RELATIONSHIPS WITH LEAF HABIT AND SHADE TOLERANCE,otro
11121177,"CONFLICTOS DE GENERO, INSERCION LABORAL E ITINERARIOS MIGRATORIOS DE LAS MUJERES PERUANAS EN CHILE: UN ANALISIS COMPARADO ENTRE LAS REGIONES DE ARICA-PARINACOTA, TARAPACA Y VALPARAISO",otro
11121179,ON THE TRACK OF ENZYMES' FUNCTION: NEW INSIGHTS FROM THE MEAN REACTION FORCE,otro
11121184,EL NACIMIENTO DEL DERECHO ADMINISTRATIVO CHILENO (1810-1860),otro
11121186,CONSTRAINED INFERENCE PROBLEMS IN EXTREME VALUE MODELING,otro
11121187,EXACT ASPECTS OF GRAVITY.,otro
11121190,COMPARING THE ECO-PHYSIOLOGICAL DETERMINANTS OF TUBER YIELD AND PHOSPHORUS USE EFFICIENCY IN DIFFERENT GENOTYPES OF POTATOES,otro
11121191,EL CONCEPTO DE 'GRUPOS DESAVENTAJADOS' COMO COMPLEMENTO A LA DOGMATICA CONSTITUCIONAL CHILENA SOBRE IGUALDAD,otro
11121196,FEATURE SELECTION FOR IMBALANCED DATA USING SUPPORT VECTOR MACHINES,otro
11121199,A FIXED POINT LOGIT MODEL WITH EXPLICITY ENDOGENEITY,otro
11121200,REGULATION OF THE BIOSYNTHESIS OF ISOPRENOIDS AND CHARACTERIZATION OF THE ERGOSTEROL BIOSYNTHESIS IN THE YEAST XANTHOPHYLLOMYCES DENDRORHOUS.,salud
11121203,SOCIAL JUSTICE AND CITIZENSHIP PARTICIPATION: AN INTERNATIONAL COMPARISON WITH FOCUS ON THE CASE OF CHILE,otro
11121205,EFFECT OF NEONATAL EXPOSURE TO SEX HORMONES ON DOPAMINE NEUROTRANSMISSION OF THE ADULT RAT. IMPLICATIONS IN THE DEVELOPMENT OF ADDICTIVE BEHAVIOR.,salud
