código,glosa,clasificación,clasificación_normalizada
EQM130073,ESPECTRORADIOMETRO: PODEROSA HERRAMIENTA PARA ACELERAR EL MEJORAMIENTO GENETICO MEDIANTE LA FENOMICA,otro,otro
EQM130076,ADQUISICION DE UN MICROSCOPIO ELECTRONICO DE BARRIDO Y EQUIPOS AUXILIARES (SEM-EDX) PARA INVESTIGACION AVANZADA EN CIENCIAS ODONTOLOGICAS.,salud,salud
EQM130086,EQUIPO DE MEDICIONES MAGNETICAS : PHYSICAL PROPERTIES MEASUREMENTS SYSTEM (PPMS),otro,otro
EQM130088,"DESARROLLO DE UN SISTEMA MODULAR DE EMISION Y REGISTRO DE SEÑALES SENSORIO-PERCEPTIVAS, COGNITIVAS Y CONDUCTUALES EN CONTEXTOS EXPERIMENTALES EN EL LABORATORIO DE PSICOLOGIA DE LA UNIVERSIDAD DE TALCA.",otro,otro
EQM130092,MEJORAMIENTO DEL EQUIPAMIENTO ESTRATEGICO DEL LABORATORIO DE BIOSEGURIDAD DE NIVEL 3 (BSL-3) DE LA ESCUELA DE MEDICINA DE LA PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE.,salud,salud
EQM130094,VIDEOENDOSCOPIA LARINGEA DE ALTA VELOCIDAD,salud,salud
EQM130098,PLATAFORMA PARA INVESTIGACION AVANZADA EN INTERACCION HUMANO-ROBOT Y ROBOTICA MOVIL,otro,otro
EQM130103,"DESARROLLO DE CERAMICOS OXIDOS/NO OXIDOS, INTERMETALICOS, COMPUESTOS Y SUS NANOCOMPUESTOS DE ALTA TEMPERATURA PARA APLICACIONES EN INGENIERIA Y GESTION TERMICA.",otro,otro
EQM130116,ESTABLECIMIENTO DE LAS CAPACIDADES PARA MICROSCOPIA DE DOS FOTONES,salud,salud
EQM130119,"FORTALECIMIENTO DEL LA INVESTIGACION INTERDISCIPLINARIA A TRAVES DE LA ADQUISICION DE UN UHPLC-MS-MS PARA EL ESTUDIO DE METABOLITOS EN SISTEMAS BIOLOGICOS, ANTIOXIDANTES EN PRODUCTOS NATURALES, FARMACOS, CONTAMINANTES EMERGENTES Y ALIMENTOS.",salud,salud
EQM130120,FORTALECIMIENTO DE LA INVESTIGACION EN CULTIVOS CELULARES EIB-PUCV: ESCALAMIENTO DE FERMENTACIONES EN UN BIORREACTOR PILOTO,salud,salud
EQM130125,IMPLEMENTACION Y DESARROLLO DE LABORATORIO DE MICROSCOPIA ELECTRONICA DE BARRIDO EN DEPENDENCIAS DE LA UNIVERSIDAD DE ATACAMA,otro,otro
EQM130129,"ADQUISICION DE UN SISTEMA GC-MS PARA ANALISIS DE COMPUESTOS AROMATICOS VOLATILES DE INTERES AGRONOMICO, ENOLOGICO Y AGROINDUSTRIAL",otro,otro
EQM130135,FORTALECIMIENTO DE LAS CAPACIDADES DE INVESTIGACION EN QUIMICA DE ESTADO SOLIDO MEDIANTE LA ADQUISICION DE DSC-TG,otro,otro
EQM130137,IMPLEMENTACION DE UNA PLATAFORMA PARA LA SECUENCIACION DE TRANSCRIPTOMAS EN LA UNIVERSIDAD AUSTRAL DE CHILE,otro,otro
EQM130145,SIMULADOR DE RED ELECTRICA PROGRAMABLE,otro,otro
EQM130149,ESPECTROSCOPIA CONFOCAL RAMAN ASISTIDA POR MICROSCOPIA DE FUERZA ATOMICA: SUPERFICIE NANO Y MICRO ESTRUCTURADAS,otro,otro
EQM130152,"APLICACION DE LA DISCRIMINACION > ISOTOPICA DE 13C  MEDIANTE USO DEL SISTEMA CM-CRDS EN EL CAMPO EDAFICO, > AGRICOLA-PRODUCTIVO Y DE LA CONSERVACION DE LA NATURALEZ",otro,otro
EQM130154,ESPECTROMETRO DE RESONANCIA MAGNETICA NUCLEAR DE ALTA RESOLUCION,otro,otro
EQM130155,ADQUISICION DE UNA ULTRACENTRIFUGA CON 4 ROTORES,otro,otro
EQM130156,"FORTALECIMIENTO DE LAS CAPACIDADES DEL CENTER OF WASTE MANAGEMENT AND BIONERGY-BIOREN, EN LA CARACTERIZACION DE BIOMASA Y MATERIALES A TRAVES DE LA ADQUISICION DE UN EQUIPO TGA-DSC",otro,otro
EQM130158,ADQUISICION DE UN CYTATION3 CELL IMAGING MULTI-MODE READER: UNA PLATAFORMA PARA EL DESARROLLO DE LA BIOLOGIA SINTETICA,salud,salud
EQM130167,INTRODUCCION DE UNA PLATAFORMA DE ANALISIS CUALITATIVO Y CUANTITATIVO DE POBLACIONES CELULARES POR CITOMETRIA DE FLUJO,salud,salud
EQM130170,"""APLICACIONES DE LA ESPECTROSCOPIA DE CAMPO CERCANO Y RAMAN AMPLIFICADA POR EFECTO DE SUPERFICIES AL ESTUDIO DE BIOSENSORES ANFITRION-HUESPED”",salud,salud
EQM130175,SISTEMA INTEGRADO DE OBSERVACION Y ANALISIS DEL COMPORTAMIENTO HUMANO,otro,otro
EQM130202,IMPLEMENTACION DE UN LISIMETRO DE ALTA RESOLUCION PARA ESTUDIOS SOBRE DINAMICA DE AGUA Y SU EFICIENCIA DE USO EN ANDISOLES BAJO USO AGRICOLA,otro,otro
EQM130208,PLATAFORMA DE ANALISIS DE IMAGENES EN ANIMALES IN VIVO PARA EL ESTUDIO DE LA PATOGENESIS DE ENFERMEDADES,salud,salud
EQM130209,LABORATORIO DE ESPECTROMETRIA DE MASAS DE LA UNIVERSIDAD DE CONCEPCION (LEM-UDEC),otro,otro
EQM130220,AMPLIFICADOR MULTICANAL DE SEÑALES BIOELECTRICAS (EMG-USB2),salud,salud
EQM130236,SECADOR FLEXIBLE DE MADERAS,otro,otro
EQM130244,ATOMIZADORA DE GRAFITO PARA COLABORACION CON ATLAS EN CERN.,otro,otro
EQM130257,IMPLEMENTACION DE UN LABORATORIO DE LIPIDOMICA PARA EL ESTUDIO DE TRASTORNOS METABOLICOS DE ACIDOS GRASOS EN GANADO DE PRODUCCION,salud,salud
EQM130267,CITOMETRO DE FLUJO PARA MICRO-ORGANISMOS CON ACTIVIDADES BIOGEOQUIMICAS,otro,otro
SA13I20019,EVALUACION DE LA EXPOSICION A PLAGUICIDAS ORGANOFOSFORADOS Y DESEMPEÑO NEUROPSICOLOGICO Y MOTOR DE TRABAJADORES AGRICOLAS Y NO AGRICOLAS DE LA REGION DEL MAULE.,salud,salud
SA13I20027,"VALIDACION PARTICIPATIVA DE MANUAL DE PREVENCION DE VIOLENCIA INTRAFAMILIAR CON MUJERES MAPUCHE DE LAS REGIONES VIII, IX Y XIV.",salud,salud
SA13I20037,"EFECTO DE LA NEUROREHABILITACION A TRAVES DE LA TERAPIA DE RESTRICCION INDUCIDA MODIFICADA,  EN SUJETOS CON SECUELA BRAQUIAL, POSTERIOR A UN ATAQUE CEREBRO VASCULAR, EN LA MEJORA DE LA FUNCION, TIEMPO DE RECUPERACION, CALIDAD DE VIDA Y APOYO SOCIAL.",salud,salud
SA13I20067,"EL PROCESO DE TRANSICION DE SERVICIOS PEDIATRICOS A ADULTOS: VISION DE ADOLESCENTES PORTADORES DE ENFERMEDADES CRONICAS, SUS CUIDADORES Y LOS PROFESIONALES DE SALUD.",salud,salud
SA13I20068,COMPARACION ENTRE METODO CLINICO Y RADIOGRAFICO PARA LA DETECCION DE LESIONES DE CARIES INTERPROXIMALES EN ADULTOS: ESTUDIO IN VIVO,salud,salud
SA13I20075,EFECTOS DEL PROCESO DE RECONOCIMIENTO DE RESTOS OSEOS E IDENTIFICACION DE DETENIDOS DESAPARECIDOS EN LA SUBJETIVIDAD DE SUS FAMILIARES EN UNA COMUNIDAD RURAL. EL CASO DE PAINE.,otro,otro
SA13I20078,PREVALENCIA DE CO-FACTORES ASOCIADOS A LA INFECCION POR HELICOBACTER PYLORI EN ZONAS DE ALTO Y BAJO RIESGO DE CANCER GASTRICO.,salud,salud
SA13I20089,"DISCAPACIDAD Y ENVEJECIMIENTO: IMPACTO DEL GES ORTESIS EN LA CAPACIDAD FUNCIONAL DE LAS PERSONAS DE 65 AÑOS Y MAS, ESTUDIO PROSPECTIVO.",salud,salud
SA13I20116,"EFECTO DEL CONSUMO DE BEBIDAS LACTEAS ENRIQUECIDAS CON PROBIOTICOS EN LA REDUCCION DE INCIDENCIA DE CANDIDIASIS ORAL ASOCIADA A ESTOMATITIS PROTESICA, EN ADULTOS MAYORES PORTADORES DE PROTESIS REMOVIBLES.",salud,salud
SA13I20130,INFLUENCIA RELATIVA DE LOS DETERMINANTES SOCIALES ESTRUCTURALES E INTERMEDIOS EN LA GENERACION DE INEQUIDADES EN SALUD ORAL EN NIÑOS DE 1 A 6 AÑOS DE LA REGION METROPOLITANA.,salud,salud
SA13I20135,FACTORES ASOCIADOS A LAS DISTINTAS EVOLUCIONES QUE PRESENTAN LOS PACIENTES QUE INGRESAN A TRATAMIENTO POR GES DEPRESION EN LA ATENCION PRIMARIA DE LOS CONSULTORIOS URBANOS DE LA VII REGION: SEGUIMIENTO DE UNA COHORTE.,salud,salud
SA13I20137,EVALUACION DEL COSTO EFECTIVIDAD DEL AUMENTO DE LA COBERTURA DE LA VIGILANCIA DE LA SILICOSIS EN CHILE.,salud,salud
SA13I20138,ENFERMEDADES NO TRANSMISIBLES EN LA POBLACION ADULTA DE CHILE: ANALISIS LONGITUDINAL DE  EQUIDAD MEDIANTE LAS RONDAS DE LA ENCUESTA DE PROTECCION SOCIAL 2004-2012.,salud,salud
SA13I20143,EXPLORACION CUALITATIVA DE LA INTERVENCION EN SALUD BUCAL DEL GES EN EMBARAZADAS.,salud,salud
SA13I20154,PREDICCION DE DIABETES GESTACIONAL DURANTE EL PRIMER TRIMESTRE DE EMBARAZO MEDIANTE MODELO MULTIPARAMETRICO,salud,salud
SA13I20158,"CENTROS DE ATENCION DIURNA PARA ADULTOS MAYORES FRAGILES: EVALUACION DE LA FUNCIONALIDAD, BIENESTAR SUBJETIVO Y ACEPTABILIDAD SOCIAL.",salud,salud
SA13I20163,"DIAGNOSTICO DE SITUACION DE LA HEPATITIS B, HEPATITIS C Y VIH EN POBLACION PRIVADA DE LIBERTAD DEL CENTRO DE DETENCION PREVENTIVA SANTIAGO SUR, REGION METROPOLITANA CON MIRAS A UN MODELO PREVENTIVO Y DE ATENCION DE SALUD OPORTUNA.",salud,salud
SA13I20173,"ESTUDIO RANDOMIZADO CONTROLADO DOBLE CIEGO DE USO DE VITAMINA D PARA LA PREVENCION DE INFECCIONES RESPIRATORIAS AGUDAS EN NIÑOS DE 18 A 36 MESES DE EDAD RESIDENTES DE SANTIAGO, COYHAIQUE Y PUNTA ARENAS.",salud,salud
SA13I20175,"ENSAYO CLINICO CONTROLADO DEL EFECTO DEL HIDROXIDO DE CALCIO, MTA Y BIODENTINE COMO MATERIALES DE RECUBRIMIENTO PULPAR DIRECTO DE DIENTES DEFINITIVOS AFECTADOS POR CARIES, EN NIÑOS ENTRE 7 Y 16 AÑOS EN LA PROVINCIA DE MAIPO.",salud,salud
SA13I20184,INTERVENCION DOMICILIARIA POR TERAPIA OCUPACIONAL POST ALTA PARA PREVENIR LA REHOSPITALIZACION DE PERSONAS MAYORES: ENSAYO CLINICO RANDOMIZADO.,salud,salud
SA13I20188,MODIFICANDO LA IDEACION SUICIDA EN ADOLESCENTES CON ENTRENAMIENTO EN ORIENTACION TEMPORAL: UN ENSAYO CLINICO RANDOMIZADO.,salud,salud
SA13I20190,VALIDACION Y ADAPTACION CULTURAL DEL PRIMARY CARE ASSESSMENT TOOLS PARA LA REALIDAD CHILENA.,salud,salud
SA13I20205,CUANTIFICACION Y CARACTERIZACION DE LA PRODUCCION DE ALCALI POR CEPAS BACTERIANAS DEL BIOFILM DENTARIO Y SALIVA EN PACIENTES CON Y SIN LESIONES ACTIVAS DE CARIES DENTAL.,salud,salud
SA13I20211,"IDENTIFICACION, MONITOREO Y EVALUACION DEL RIESGO DE LA POBLACION DEL GRAN CONCEPCION ANTE LA PRESENCIA DE CIANOBACTERIAS Y CIANOTOXINAS.",otro,otro
SA13I20218,REVISION SISTEMATICA DE LA EXPERIENCIA Y SIGNIFICADO DE TRANSFORMARSE EN PADRE POR PRIMERA VEZ. UN APORTE AL CONOCIMIENTO DE LA RELACION PADRE HIJO(A) COMO FACTOR PROTECTOR PARA UN DESARROLLO INFANTIL SALUDABLE.,salud,salud
SA13I20220,EFECTIVIDAD DE LA TERAPIA DE CLORHEXIDINA/FLUOR EN LA DISMINUCION DE STREPTOCOCCUS MUTANS EN EL BINOMIO MADRE-HIJO. ENSAYO CLINICO ALEATORIO EN EMBARAZADAS ATENDIDAS EN CESFAM SAN VICENTE - TALCAHUANO.,salud,salud
SA13I20223,"EFECTOS DE UN PROGRAMA EDUCATIVO DIRIGIDO A PADRES DE NIÑOS CON DIAGNOSTICO DE CANCER, EN LA APARICION DE EVENTOS ADVERSOS RELACIONADOS CON LA ENFERMEDAD DE SUS HIJOS, NIVEL DE CONOCIMIENTO DE LA PATOLOGIA Y PERCEPCION USUARIA DE LA ATENCION HOSPITALARIA.",salud,salud
SA13I20255,TAMIZAJE DE CANCER DE COLON Y RECTO: ANALISIS DE COSTO EFECTIVIDAD PARA EL SISTEMA DE SALUD PUBLICO CHILENO.,salud,salud
SA13I20259,PERCEPCIONES Y PRACTICAS SOBRE LA OPERACION CESAREA: ESTUDIO EXPLORATORIO EN SALUD PUBLICA Y PRIVADA PARA LA ELABORACION DE RECOMENDACIONES QUE CONTRIBUYAN A LA DISMINUCION DE LA TASA DE CESAREA EN CHILE.,salud,salud
SA13I20269,"INVESTIGACION DE CORTE TRANSVERSAL  PARA ESTABLECER  LA PREVALENCIA DE ASMA LABORAL, EN UNA MUESTRA REPRESENTATIVA DE PACIENTES EN CONTROL EN LAS SALAS DE ENFERMEDADES RESPIRATORIA DEL ADULTO (ERA) EN COMUNAS DE LA REGION METROPOLITANA.",salud,salud
SA13I20287,PERCEPCION DEL DISCURSO DE LOS ESTILOS DE VIDA SALUDABLE Y SU REPERCUSION EN EL COMPORTAMIENTO EN POBLACION ADSCRITA AL PROGRAMA VIDA SANA DE LA COMUNA DE PEDRO AGUIRRE CERDA.,salud,salud
SA13I20317,"EVALUACION DE LA EFICACIA CLINICA, MICROBIOLOGICA Y MORTALIDAD DE UNA DOSIS DE CARGA DE COLISTIN EN PACIENTES CRITICOS.",salud,salud
SA13I20321,ANOMALIAS CONGENITAS Y TRASTORNOS DEL DESARROLLO: EVALUACION DE COSTO-EFECTIVIDAD DE LAS NUEVAS HERRAMIENTAS DIAGNOSTICAS.,salud,salud
SA13I20342,EFECTO DEL APOYO DE MONITORAS COMUNITARIAS A MUJERES QUE AMAMANTAN SOBRE LA DURACION DE LA LACTANCIA MATERNA: ENSAYO CLINICO ALEATORIZADO.,salud,salud
SA13I20354,NEUROMODULACION PERIFERICA EN EL TRATAMIENTO DE DISMENORREA PRIMARIA EN ADOLESCENTES.,salud,salud
SA13I20357,"ENSAYO CLINICO CONTROLADO DE LITERACIDAD EN SALUD, PARA INCREMENTAR LA COMPENSACION METABOLICA Y AUTOEFICACIA DE PERSONAS CON DIABETES MELLITUS TIPO 2 EN CENTROS DE SALUD FAMILIAR DE LA COMUNA DE LA FLORIDA.",salud,salud
SA13I20384,EVALUACION DE UNA INTERVENCION EN AUTOESTIGMA PARA MEJORAR ADHERENCIA A TRATAMIENTO Y  CALIDAD DE VIDA EN PERSONAS CON TRASTORNOS MENTALES SEVEROS.,salud,salud
SA13I20385,"MODELO PREDICTIVO PARA EL APOYO DE LA TOMA DE DECISIONES, EN LA APLICACION PREVENTIVA DE CARIES, DE SELLANTES DE PUNTOS Y FISURAS, EN SUPERFICIES OCLUSALES DE PRIMEROS MOLARES EN ESCOLARES.",salud,salud
SA13I20430,POSTERGACION DE LA MATERNIDAD DE LA MUJER CHILENA Y SU IMPACTO SOBRE EL PERFIL DE CAUSAS DE MORTALIDAD MATERNA: ESTUDIO DE SERIES DE TIEMPO PARALELAS ENTRE 1960 Y 2010.,salud,salud
DIP130001,DIPLOMADO EN INNOVACION CON MENCION EN INVESTIGACION-ACCION EN SALUD O GESTION EMPRESARIAL,salud,salud
DIP130006,DIPLOMADO EN GESTION DE LA INNOVACION Y LA CREATIVIDAD PARA LA REGION DE COQUIMBO,otro,otro
DIP130007,DIPLOMADO EN GESTION DE LA INNOVACION Y COMERCIALIZACION DE TECNOLOGIAS,otro,otro
DIP130012,DIPLOMADO EN INNOVACION Y EMPRENDIMIENTO,otro,otro
DIP130013,DIPLOMADO EN INNOVACION Y GESTION TECNOLOGICA PARA EL SECTOR FORESTAL,otro,otro
DIP130015,DIPLOMADO EN INNOVACION Y GESTION TECNOLOGICA,otro,otro
DIP130016,DIPLOMADO EN GESTION DE LA INNOVACION EN SERVICIOS DE LA UCSC,otro,otro
EQUV0003,IMPLEMENTACION Y DESARROLLO DE UN LABORATORIO DE DIFRACCION DE RAYOS X EN LA UNIVERSIDAD DE ATACAMA,otro,otro
3/31/31130005,A RESEARCH FELLOW FOR THE NEW ASTRONOMY GROUP AT UNIVERSIDAD DIEGO PORTALES,otro,otro
3/31/31130027,OBSERVATIONAL CONSTRAINTS ON PHOTOEVAPORATION IN PROTOPLANETARY DISKS,otro,otro
FP130001,POLITICAS EN OPEN ACCESS,otro,otro
FP130002,IMPLEMENTACION DE PLATAFORMA ELECTRONICA PARA LA GESTION DIGITAL DEL PROCESO EDITORIAL,otro,otro
FP130004,FORTALECIMIENTO DE LA CALIDAD EDICION Y VISIBILIDAD DE LA REVISTA IUS ET PRAXIS,otro,otro
FP130006,FORTALECIMIENTO DEL PROCESO EDITORIAL DE LA REVISTA CHILENA DE DERECHO Y CIENCIA POLITICA,otro,otro
FP130009,AUMENTO DE IMPACTO Y FORTALECIMIENTO DE LA INTERNACIONALIZACION DE REVISTA PSICOPERSPECTIVAS,otro,otro
FP130011,OPTIMIZACION DE LA VISUALIZACION E INTERNACIONALIZACION DE CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,otro,otro
FP130012,INCREMENTO DE LA VISIBILIDAD DE CUADERNOSINFO: REDISENO DESARROLLO MOVIL Y ESTRATEGIA DE DIFUSION,otro,otro
FP130014,FORTALECIMIENTO DE LA CALIDAD Y EL ALCANCE DE LA REVISTA AUS,otro,otro
FP130015,IMPLEMENTACION DEL SITIO WEB DE REVISTA DE GEOGRAFIA NORTE GRANDE,otro,otro
FP130018,MIGRACION PLATAFORMA WEB DE EURE Y NUEVOS FORMATOS DE VISUALIZACION PARA SOPORTES MOVILES,otro,otro
FP130020,REDES: MANTENCION Y DESARROLLO PRESENCIA INTERNACIONAL Y VIRTUAL,otro,otro
FP130023,IMPLEMENTAR MEJORAS TECNOLOGICAS QUE INCREMENTEN LA VISIBILIDAD INTERNACIONAL DE EJB,otro,otro
FP130024,FORTALECIMIENTO DE LA CALIDAD DE LOS CONTENIDOS Y LA VISIBILIDAD DE BIOLOGICAL RESEARCH,otro,otro
FP130028,CALIDAD EDITORIAL Y CIENTIFICA: MEJORAMIENTO CONTINUO DEL PROCESO EDITORIAL Y VISIBILIDAD,otro,otro
FP130029,ASESORIA PARA AUMENTO DE VISIBILIDAD NACIOANAL E INTERNACIONAL DE LA REVISTA DE CIENCIA POLITICA,otro,otro
FP130030,FORTALECEMIENTO DE LA CALIDAD Y POSICIONAMIENTO DE ESTUDIOS ATACAMENOS,otro,otro
FP130031,MEDIDAS PARA OPTIMIZAR LA VISIBILIDAD Y LOS INDICES DE IMPACTO DE LA REVISTA CHILENA DE DERECHO,otro,otro
FP130033,FORTALECIMIENTO DE LA COMPETITIVIDAD INTERNACIONAL Y MEJORAS TECNOLOGICAS DE RCIA,otro,otro
FP130037,OPTIMIZAR LA PLATAFORMA ONLINE EN EL MARCO DEL POSICIONAMIENTO NACIONAL E INTERNACIONAL DE PSYKHE,otro,otro
FP130038,IMPLEMENTACION DE OPEN JOURNAL SYSTEM PARA LAS REVISTAS MAGALLANIA Y ANS INST PAT,otro,otro
FP130039,CONSOLIDACION DE ANDEAN GEOLOGY COMO REVISTA Q2 SUPERIOR EN TRANSICION A Q1FASE 1,otro,otro
FP130040,FORTALECIMIENTO DE LA COMPETITIVIDAD INTERNACIONAL DE LOS CONTENIDOS DE LA REVISTA LAJAR,otro,otro
FP130043,FORTALECIMIENTO DE LA RED Y ALCANCE INTERNACIONAL DE REVISTA ARQ,otro,otro
FP130048,DIALOGO ANDINO FORTALECIMIENTO DE LA CALIDAD Y COMPETITIVIDAD INTERNACIONAL DE LA REVISTA,otro,otro
3/32/32130007,RESEARCH FELLOWSHIP IN PROTOPLANETARY DISKS,otro,otro
3/32/32130012,REVEAL THE STRUCTURE OF THE INNER GALACTIC DISK BY OPEN CLUSTER CENSUS.,otro,otro
3/32/32130013,SUPPORT FOR THE PHD PROGRAM IN ASTROPHYSICS AT PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,otro,otro
3/32/32130014,RESEARCH FELLOWSHIP IN ASTRONOMICAL INSTRUMENTATION AT THE AIUC,otro,otro
3/32/32130024,GEMINI,otro,otro
PRFV0001,CENTRO CIENTIFICO TECNOLOGICO PARA LA MINERIA CICITEM,otro,otro
PRFV0002,CENTRO DE ESTUDIOS AVANZADOS EN FRUTICULTURA-CEAF,otro,otro
PRFV0004,FORTALECIMIENTO DEL CENTRO DE ESTUDIOS EN ALIMENTOS PROCESADOS,otro,otro
PRFV0006,CENTRO REGIONAL DE ESTUDIOS EN ALIMENTOS SALUDABLES-CREAS,salud,salud
PRFV0007,"FORTALECIMIENTO DE CAPACIDAD TECNOLOGICA, LA VINCULACION Y LA INSTITUCIONALIDAD DEL CGNA",otro,otro
R13A1001,"APOYO A LA CONTINUIDAD DEL CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ARIDAS CEAZA, HACIA EL FORTALECIMIENTO DE LA TRANSFERENCIA DE CONOCIMIENTO",otro,otro
R13A1002,APOYO A LA CONTINUIDAD DEL CENTRO DE ESTUDIOS DEL CUATERNARIO DE FUEGO-PATAGONIA Y ANTARTICA CHILENA -FUNDACION CEQUA,otro,otro
G13I0003,"ESTUDIOS FISIOLOGICOS Y GENOMICOS PARA LA IDENTIFICACION DE GENES RELACIONADOS AL DESGRANE DE POSCOSECHA DE UVA DE MESA, Y SU POSIBLE USO EN MEJORAMIENTO ASISTIDO",otro,otro
G13I0005,IDENTIFICACION Y VALIDACION DE MARCADORES MOLECULARES ASOCIADOS A CALIDAD DE FRUTO EN DURAZNERO A TRAVES DE GENOMICA Y METABOLOMICA,otro,otro
79130001,"HISTORIA ECONOMICA DE LA INDEPENDENCIA Y POST-INDEPENDENCIA DE CHILE, 1810-1840. ¿EN QUE MEDIDA LA REVOLUCION POLITICA SE TRADUJO EN UNA REVOLUCION ECONOMICA?.",otro,otro
79130002,EL EFECTO DEL SPIN EN PLASMAS Y GRAVEDAD.,otro,otro
79130004,MIRADAS CUALITATIVAS DE LA DESIGUALDAD EN CHILE. PERCEPCIONES SOBRE  RIESGO Y SUFRIMIENTO AMBIENTAL.,otro,otro
79130005,INSERCION DE INVESTIGADOR EMERGENTE DE EXCELENCIA EN EL AREA NEUROCIENCIAS Y COGNICION DEL CENTRO DE INVESTIGACION AVANZADA EN EDUCACION (CIAE) DE LA UNIVERSIDAD DE CHILE.,salud,salud
79130006,INTEGRACION DE INVESTIGADORA EMERGENTE EN APRENDIZAJE Y DESARROLLO DEL LENGUAJE PARA POTENCIAR LA INVESTIGACION MULTIDISCIPLINARIA Y APLICADA EN LAS AREAS DE ENSENANZA Y APRENDIZAJE Y NEUROCIENCIAS Y COGNICION DEL CENTRO DE INVESTIGACION AVANZADA EN EDUCACION DE LA UNIVERSIDAD DE CHILE.,salud,salud
79130008,CONSOLIDACION DEL AREA DE ASTROINFORMATICA EN INVESTIGACION Y DOCENCIA.,otro,otro
79130010,"HACIA COMUNIDADES, BARRIOS Y TERRITORIOS SUSTENTABLES: ¿HASTA QUE PUNTO DIFIEREN ESTANDARES INTERNACIONALES DE LA PRACTICA NACIONAL? PLANIFICACION DE REQUERIMIENTOS ENERGETICOS, SUSTENTABILIDAD Y REGULACIONES NECESARIAS PARA EL CRECIMIENTO URBANO Y PRODUCTIVO DEL PAIS.",otro,otro
79130011,SINTESIS Y CARACTERIZACION DE POLI(AMIDA)S Y POLI(IMIDA)S AROMATICAS DE ALTO RENDIMIENTO CON POSIBLES APLICACIONES COMO MEMBRANAS POLIMERICAS SEPARADORAS DE GASES Y TRATAMIENTO DE AGUA.,otro,otro
79130014,"INTEGRACION DE UN INVESTIGADOR EMERGENTE DE ALTO NIVEL DE ESPECIALIZACION EN EL INSTITUTO DE ACUSTICA DE LA UNIVERSIDAD AUSTRAL DE CHILE PARA POTENCIAR LA INVESTIGACION INTERDISCIPLINARIA Y LA DOCENCIA DE PRE Y POSTGRADO EN ACUSTICA MUSICAL, DISENO SONORO Y TECNOLOGIA MUSICAL.",otro,otro
79130017,"INSERSION DE CRISTOBAL RIVAS A LA UNIVERSIDAD DE SANTIAGO DE CHILE, CON MIRAS A FORTALECER, TANTO EN DOCENCIA COMO EN INVESTIGACION, LAS AREAS DE ALGEBRA Y SISTEMAS DINAMICOS.",otro,otro
79130018,FORTALECIMIENTO DE LAS CAPACIDADES CIENTIFICAS Y ACADEMICAS DEL CENTRO DE EXCELENCIA DE BIOTECNOLOGIA DE LA REPRODUCCION (CEBIOR) DE LA UNIVERSIDAD DE LA FRONTERA.,salud,salud
79130023,RENOVACION GENERACIONAL EN EL DEPARTAMENTO DE INGENIERIA QUIMICA DE LA UNIVERSIDAD DE CONCEPCION PARA EL DESARROLLO DE MATERIALES Y PROCESOS CATALITICOS DE UTILIDAD ENERGETICA Y MEDIOAMBIENTAL.,otro,otro
79130025,POTENCIAMIENTO DE LA LINEA DE MANEJO Y USO SUSTENTABLE DE RECURSO MARINOS EN LA UCSC.,otro,otro
79130026,GENERACION Y CARACTERIZACION DE NANOESTRUCTURAS OBTENIDAS EN DESCARGAS DE TIPO PLASMA FOCUS.,otro,otro
79130029,INTEGRACION DE UN INVESTIGADOR EMERGENTE DE ALTO NIVEL DE ESPECIALIZACION PARA POTENCIAR LA INVESTIGACION DE LA EDUCACION MATEMATICA DENTRO DEL PLAN ESTRATEGICO DEL CENTRO DE INVESTIGACION AVANZADA EN EDUCACION (CIAE) DE LA UNIVERSIDAD DE CHILE.,otro,otro
79130030,"ESTUDIOS FISICOQUIMICOS, FOTOFISICOS Y DE MECANISMOS DE REACCION DE ADNS CATALITICOS.",otro,otro
79130031,COMPLEJOS HELICOIDALES CON APLICACIONES BIOLOGICAS.,salud,salud
79130032,FORTALECIMIENTO Y COMPLEMENTACION DE LA LINEA DE INVESTIGACION BIOLOGIA DE LA CONSERVACION EN EL DEPARTAMENTO DE ZOOLOGIA DE LA FACULTAD DE CIENCIAS NATURALES Y OCEANOGRAFICAS DE LA UNIVERSIDAD DE CONCEPCION.,otro,otro
79130036,RESTRINGIENDO LA VARIABILIDAD HIDRO‐CLIMATICA DEL SUR DE SUDAMERICA A TRAVES DE PROXIES GEOQUIMICOS LACUSTRES.,otro,otro
79130037,BIOFISICA DE TRANSPORTE DE IONES EN LAS FAMILIAS DE PROTEINAS CLC Y NA/K ATPASAS: INVESTIGACION Y DOCENCIA.,salud,salud
79130039,FORTALECIMIENTO DE DOCENCIA E INVESTIGACION EN ESTRUCTURAS EN ALIMENTOS: EFECTO EN BIODISPONIBILIDAD DE NUTRIENTES.,salud,salud
79130041,IDENTIFICACION DE PATRONES MUSICALES ASOCIADOS A CAMBIOS OBSERVABLES EN EL SISTEMA NERVIOSO AUTONOMO PARA USO EN INTERACCIONES MUSICALES.,otro,otro
79130042,SIMULACION NUMERICA DE CONTACTO E IMPACTO EN SISTEMAS MECANICOS FLEXIBLES USANDO UN METODO ENERGETICAMENTE CONSISTENTE.,otro,otro
